"Organization Name","Date Approved","AreasServed","ASNs","Action 1Filtering","Action 2Anti-Spoofing","Action 3Coordination","Action 4Routing Information 				 					IRR 					RPKI"
"ASREN","22nd Oct 2020","JO","199354","1","0","100%","100% 							 							 								100%"
"ATLANET TELECOMUNICAÇÕES LTDA.","26th Apr 2023","BR","265016","1","No data","100%","100% 							 							 								100%"
"ATLink Services, LLC","19th Jun 2022","US","22898","1","0","100%","100% 							 							 								71%"
"Atomic Access","4th Apr 2022","ZA","328266","1","100%","100%","100% 							 							 								100%"
"Atrin Information & Communications Technology Company PJS","1st Mar 2022","IR","39650","1","No data","100%","100% 							 							 								100%"
"August Internet","5th Sep 2022","US","50058","1","No data","100%","100% 							 							 								100%"
"August Internet","31st Dec 2021","CA, DE, TW, US","945","1","No data","100%","42% 							 							 								44%"
"Aussie Broadband","7th Apr 2022","AU","4764, 136943, 38013","1","100%","100%","99% 							 							 								86%"
"AUTORIDAD DE SUPERVISION DEL SISTEMA FINANCIERO","22nd Aug 2022","BO","265779","1","No data","100%","100% 							 							 								100%"
"Axarnet","27th Nov 2020","ES, EU","50926","1","No data","100%","100% 							 							 								95%"
"Axera S.p.A","16th Oct 2018","IT","34758","1","No data","100%","100% 							 							 								100%"
"Backspace Technologies","9th Dec 2020","ZA","328512","1","0","100%","100% 							 							 								100%"
"Banco Nacional do Desenvolvimento Economico e Social - BNDES","25th Apr 2023","BR","270694","0","0","100%","0"
"Bandura Communications","11th Nov 2022","DE, EU","202952","1","No data","100%","100% 							 							 								100%"
"Bangladesh Computer Council","13th Feb 2020","BD","63932","1","0","100%","100% 							 							 								100%"
"Bangladesh Research and Education Network","13th Oct 2019","BD","63961","1","0","0","100% 							 							 								100%"
"BazTel Limited","11th Jul 2019","GB","48325","1","0","100%","100% 							 							 								100%"
"BB Host","18th Dec 2019","BR","265919","1","0","100%","100% 							 							 								100%"
"BCNET","22nd Sep 2021","CA","271","1","49%","100%","100% 							 							 								0%"
"BDconnect.net","28th May 2021","BD","64063","1","No data","100%","100% 							 							 								100%"
"BelWue","25th Aug 2018","DE","553","1","100%","100%","100% 							 							 								57%"
"Benerofonte Networks","15th Apr 2021","BR","61604","1","No data","100%","100% 							 							 								50%"
"BGPNAP","11th Dec 2019","JP","63771","1","0","100%","100% 							 							 								100%"
"BIGLOBE Inc.","24th Jul 2019","JP","2518","1","0","100%","100% 							 							 								100%"
"BIT BV","25th Aug 2018","NL","12859","1","No data","100%","100% 							 							 								83%"
"Bital Internet","25th Sep 2019","BR","265347","1","1","1","1"
"Bitcom Provedor de Serviços de Internet Ltda","17th Mar 2020","BR","28169","1","No data","100%","100% 							 							 								0%"
"BJNET PROVEDOR DE INTERNET LTDA","15th Sep 2021","BR","52545","1","0","100%","100% 							 							 								100%"
"Blue3 internet","4th Nov 2021","BR","265198","1","100%","100%","100% 							 							 								100%"
"BMI Telecomunicações e Importação Ltda","26th Apr 2023","BR","265055","1","0","100%","100% 							 							 								100%"
"Bnet Telecom","4th Dec 2018","BR","53096","1","No data","100%","100% 							 							 								0%"
"BONZONE Telecom","6th Jul 2020","BR","268508","1","No data","100%","100% 							 							 								50%"
"Botswana Fibre Networks - BOFINET","9th Jun 2023","BW, MW, ZM","37678","1","No data","100%","80% 							 							 								0%"
"BR.Digital Provider","29th Apr 2021","BR","14840","1","No data","100%","100% 							 							 								0%"
"BRASCLOUD","10th Sep 2020","BR","262968","1","No data","100%","0"
"Brasil Digital","21st Apr 2022","RO","263661","1","100%","100%","100% 							 							 								0%"
"Brasil Tecnologia e Participaçoes LTDA","4th Nov 2021","BR","262907","1","100%","100%","100% 							 							 								78%"
"BRASIL-IP TELECOMUNICACOES LTDA - ME","5th May 2020","BR","61951","1","No data","100%","100% 							 							 								100%"
"BrasilNET Telecomunicações","9th Jun 2023","BR","262645","1","No data","100%","100% 							 							 								100%"
"BRDrive","17th Apr 2019","BR","268589","1","No data","100%","100% 							 							 								0%"
"BRISANET SERVICOS DE TELECOMUNICACOES LTDA","13th Oct 2019","BR","28126","1","0","100%","100% 							 							 								87%"
"BRMASTER","10th Jul 2023","BR","263360","1","0","100%","100% 							 							 								100%"
"Broadband Hosting B.V.","31st Aug 2021","BE, DE, DK, EU, FR, GB, LU, NL","20562, 24785","1","0","100%","100% 							 							 								100%"
"BrPhonia Provedor Ip Ltda","5th May 2022","BR","263649","1","No data","100%","100% 							 							 								86%"
"BT Ireland","11th Nov 2019","IE","2110","1","100%","100%","100% 							 							 								0%"
"C F DA SILVA INFORNET ME","28th Apr 2020","BR","264201","1","No data","100%","100% 							 							 								100%"
"c3telecom","24th Jan 2023","BR","262891","1","100%","100%","100% 							 							 								100%"
"CAAREN","25th Aug 2018","US","4901, 11039","1","100%","100%","100% 							 							 								100%"
"Cable & Wireless Panama","25th Aug 2018","PA","11556","1","100%","100%","0"
"Cable Onda","28th May 2021","PA","18809","1","No data","100%","99% 							 							 								69%"
"Cadence Networks Ltd","8th Jan 2021","GB","47638","1","No data","100%","100% 							 							 								100%"
"Campana Group","22nd May 2019","MM, SG, TH","136168","1","No data","100%","100% 							 							 								100%"
"Canarie","6th Jun 2019","CA","6509","1","No data","100%","80% 							 							 								60%"
"Capricom Networks","16th Jan 2023","ZA","328341","1","49%","0","100% 							 							 								100%"
"CARUARU ONLINE LTDA","6th May 2020","BR","266979","1","0","100%","100% 							 							 								100%"
"CCI Internet","21st Mar 2023","BR","265461","1","100%","100%","100% 							 							 								100%"
"CCS Brasil","25th Apr 2023","BR","271760","1","0","100%","100% 							 							 								0%"
"CD ONE Corporation do Brasil","31st Dec 2019","BR","52818","1","0","100%","100% 							 							 								0%"
"CE TECH TELECOM","6th Jul 2020","BR","268876","1","0","100%","100% 							 							 								100%"
"CEDIA","6th Jul 2020","EC","61468, 27841, 27820, 262212","1","No data","100%","75% 							 							 								88%"
"CELERIX TECNOLOGIA","5th Jan 2021","PR","266167","0","No data","100%","100% 							 							 								50%"
"Celero Networks","26th Apr 2023","PA","263759","1","0","100%","100% 							 							 								100%"
"Celino Ribeiro Serviços de Telecomunicações LTDA.","26th Apr 2023","BR","52592","1","0","100%","100% 							 							 								75%"
"CENGN","6th Jul 2020","CA","395262","1","0","100%","100% 							 							 								100%"
"CENIC","14th Dec 2022","US","2152, 2153","1","0","100%","58% 							 							 								1%"
"Centauri Solutions LLC","3rd Jan 2023","US","207420","1","0","1","1"
"Center Prestadora de Serviços","6th Jul 2020","BR","53059","1","0","1","1"
"Century Telecom Ltda","1st Jul 2022","BR, DE, NL, US","21574","1","No data","100%","100% 							 							 								100%"
"Cerberus Networks Ltd","25th Feb 2020","GB","51918","1","No data","100%","100% 							 							 								100%"
"CERNET","25th Aug 2018","CN","4538","1","100%","100%","100% 							 							 								0%"
"Certto Telecomunicações","25th Feb 2019","BR","28130","1","100%","100%","0"
"CG Communications Limited","14th Feb 2022","NP","141767","1","29%","100%","100% 							 							 								100%"
"Cgates","1st Apr 2020","LT","21412, 29625","1","100%","100%","100% 							 							 								100%"
"Charter Communications","25th Aug 2018","US","3456, 7843, 8052, 10796, 10838, 11351, 11426, 11427, 11955, 12271, 13343, 14065, 16787, 17359, 19115, 19157, 20001, 20115","1","87%","100%","57% 							 							 								86%"
"Cherry World Communication Pvt Ltd","21st Oct 2020","NP","135327","1","No data","100%","100% 							 							 								100%"
"China Science and Technology Network","27th Jun 2022","CN","7497","1","0","100%","100% 							 							 								0%"
"China Telecom","1st Apr 2021","AE, AU, BR, CA, CN, CZ, DE, EG, FR, GB, HK, ID, IN, IT, JP, KE, KR, MO, MY, NG, NL, RU, SE, SG, TH, TR, US, VN, ZA","4809","1","100%","100%","100% 							 							 								33%"
"China Telecom","11th Dec 2020","AE, AU, CN, DE, GB, HK, JP, KE, NL, RU, SG, US, ZA","4134","1","100%","100%","100% 							 							 								5%"
"China Telecom Americas","11th Dec 2020","US","36678","1","100%","100%","100% 							 							 								100%"
"China Telecom Global Limited","11th Dec 2020","AE, AU, DE, FR, GB, HK, JP, KE, KH, KR, MM, SG, TH, ZA","23764","1","No data","100%","100% 							 							 								93%"
"Chronos","10th Jul 2019","DE, GB, NL, TR, US","202365","1","0","100%","100% 							 							 								100%"
"CHUBU TELECOMMUNICATIONS CO.,INC","26th Jul 2019","JP","18126","1","0","100%","100% 							 							 								63%"
"CityLink Telecommunications NM, LLC","13th Oct 2019","US","7850","1","No data","100%","100% 							 							 								13%"
"CityTelekom Ltd.","24th Feb 2021","RU","56791","1","No data","100%","100% 							 							 								100%"
"Claranet","25th Aug 2018","GB","8426","1","No data","100%","100% 							 							 								40%"
"Clarkson University","17th Oct 2021","US","92","1","100%","100%","100% 							 							 								100%"
"Classic Tech Pvt. Ltd.","22nd Aug 2022","NP","55915","1","0","100%","100% 							 							 								100%"
"Clearcable Networks","25th Aug 2018","CA","393990","1","0","100%","100% 							 							 								75%"
"CLICK CONNECT","7th Jul 2020","BR","267113","1","0","100%","100% 							 							 								100%"
"Click Telecom","26th Apr 2023","BR","262785","1","0","100%","0"
"CloudGistics PTY","21st Mar 2022","ZA","328970","1","No data","100%","100% 							 							 								0%"
"CMC Networks","6th Apr 2020","AE, AO, BF, BI, BJ, BW, CF, CG, CI, CV, DJ, DZ, ET, FR, GA, GB, GM, GN, GQ, GW, HK, JO, KE, LS, LY, MA, MG, ML, MR, MU, MV, MW, MZ, NA, NE, NG, RW, SC, SL, TG, TN, TZ, UG, ZA, ZM, ZW","25818","1","0","100%","100% 							 							 								0%"
"Cogent Communications, Inc.","25th Aug 2018","US","174","1","100%","100%","60% 							 							 								1%"
"Colt Technology Services","9th Jul 2020","AT, AU, BE, BG, CH, CZ, DE, DK, ES, FR, GB, HK, HU, IE, IT, JP, LU, NL, PL, PT, RO, SE, SG, SV, US","10021, 12761, 15404, 8220","1","100%","100%","100% 							 							 								71%"
"Com Hem AB","7th Jun 2019","SE","39651","1","1","1","1"
"Comcast","25th Aug 2018","US","7015, 7016, 7725, 7922, 11025, 13367, 20214, 21508, 22258, 22909, 33287, 33489, 33490, 33491, 33650, 33651, 33652, 33653, 33654, 33655, 33656, 33657, 33659, 33660, 33661, 33662, 33664, 33665, 33666, 33667, 33668, 36732, 36733","1","100%","100%","4% 							 							 								80%"
"Computec Telecom","25th Apr 2023","BR","263624","0","0","100%","100% 							 							 								25%"
"Comteco RL","12th Apr 2021","BO","27839","1","100%","100%","100% 							 							 								100%"
"ComuNET Internet Banda Larga","7th Jul 2020","BR","266357","1","0","100%","100% 							 							 								50%"
"Comunicaciones Valles Calchaquies S.R.L.","26th Apr 2023","AR, BR, PY","269909","1","0","100%","100% 							 							 								0%"
"CONARE","1st Apr 2020","CR","52470","1","0","100%","100% 							 							 								0%"
"Conect Provedor de Acesso a Internet Ltda Me","9th Jul 2020","BR","265066","1","0","100%","100% 							 							 								0%"
"CONECT TURBO TELECOM EIRELLI-ME","9th Oct 2020","BR","268638","1","No data","100%","100% 							 							 								100%"
"CONECTA AMAZONIA TELECOM LTDA","6th Jul 2020","BR","264509","1","0","100%","100% 							 							 								50%"
"Conecta Minas Gerais Ltda.","16th Dec 2021","BR","262691","1","49%","100%","100% 							 							 								84%"
"CONECTFY","26th Apr 2023","MA","271566","1","0","100%","100% 							 							 								0%"
"CONEXAOBA PROVEDOR DE INTERNET","7th Jul 2020","BR","266551","1","0","100%","100% 							 							 								19%"
"Conexão Lanet","6th Apr 2020","BA","268674","1","0","100%","100% 							 							 								100%"
"Connect Rio","13th Aug 2021","BR","263057","1","0","100%","100% 							 							 								0%"
"Connecticore S.A.","25th Aug 2018","GR","197580","1","No data","100%","100% 							 							 								100%"
"Connecticut Education Network","9th Oct 2018","US","22742","1","No data","100%","0"
"CONNECTIVIA","12th Nov 2020","IT","207594","1","0","100%","100% 							 							 								92%"
"Connesi S.p.A.","16th Feb 2021","IT","15605","1","No data","100%","100% 							 							 								100%"
"Constel Tecnologia","8th May 2020","BR","262328","1","No data","100%","100% 							 							 								0%"
"Convergenze S.p.A.","4th Nov 2019","IT","39120","1","0","100%","100% 							 							 								90%"
"Coprel Telecom","24th Jan 2023","RS","52892, 268218, 28212","1","0","100%","100% 							 							 								0%"
"Cornell University","18th Jun 2022","US","26","1","No data","100%","100% 							 							 								14%"
"Costa Esmeralda Net LTDA","1st Apr 2020","BR","263653, 263565","1","0","1","1"
"Costa Rica Internet Service Provider (CRISP S.A.)","28th Oct 2021","CR","28022","0","0","100%","100% 							 							 								100%"
"COTAP R.L.","18th Jun 2022","BO","267765","1","0","100%","0"
"CRIATIVANET","25th Apr 2023","BR","271383","1","No data","100%","100% 							 							 								50%"
"CSC/Funet","25th Aug 2018","FI","1741","1","No data","100%","100% 							 							 								0%"
"CSUC","25th Aug 2018","ES","13041","1","No data","100%","100% 							 							 								60%"
"Custodian DC Ltd","25th Aug 2018","GB","50300","1","No data","100%","98% 							 							 								77%"
"Cyber Internet Services Pvt Ltd","25th Aug 2018","PK","9541, 24440","1","0","100%","100% 							 							 								73%"
"Cyber Internet Telecom","11th Dec 2019","BR","262565","1","0","100%","100% 							 							 								0%"
"cybera","4th Mar 2020","CA","15296","1","0","100%","100% 							 							 								19%"
"Cybergate Limited","20th Nov 2018","BD","58599","1","No data","100%","100% 							 							 								100%"
"D. A. Comercio e Servicos de Informatica Ltda","29th Jan 2021","BR","262908","1","100%","100%","100% 							 							 								100%"
"Dalton Utilities / OptiLink","13th May 2022","US","30165","1","No data","100%","100% 							 							 								94%"
"Darkness Reigns (Holding) B.V.","27th Jul 2020","NL","61161","1","0","100%","0"
"Data Space Sp. z o.o.","3rd Sep 2020","PL","50599","1","No data","100%","100% 							 							 								100%"
"Data-beam business solution","13th Jun 2023","PH","150000","1","0","100%","100% 							 							 								100%"
"Datacenter One GmbH","10th Jul 2019","DE","48918","1","0","100%","100% 							 							 								48%"
"Datagroup PJSC","22nd Aug 2022","EU, UA","3326, 21219","1","No data","100%","99% 							 							 								50%"
"Dataline LLC","13th Aug 2021","EU","35297","1","No data","100%","100% 							 							 								92%"
"datamena","16th Dec 2021","AE","57187","1","0","100%","100% 							 							 								86%"
"Datanet Wifi","19th Jun 2022","BT","138529","1","0","100%","0"
"DCS1 Pte Ltd","21st Jan 2020","SG","37989, 45736","1","No data","100%","100% 							 							 								100%"
"DeeNet Services Pvt Ltd","28th Jul 2021","IN","136308, 138794","1","100%","100%","100% 							 							 								100%"
"Delight Networks","2nd Apr 2020","EU","207936","1","No data","100%","100% 							 							 								100%"
"DENTEL TELECOM","12th Nov 2019","BR","262657","1","No data","100%","100% 							 							 								25%"
"DePaul University","25th Aug 2018","US","20130","1","No data","100%","83% 							 							 								100%"
"Deutsche Telekom AG","7th Dec 2022","CA, CH, CN, CZ, DE, ES, FR, GB, GR, HK, HU, IT, NL, PL, SE, SG, SK, SL, TR, US","3320, 20570","1","100%","100%","100% 							 							 								5%"
"Devinix Solutions AB","6th Jul 2020","SE","8769","1","0","100%","100% 							 							 								75%"
"DEZ SOLUÇÕES EM TELECOMUNICAÇÕES LTDA","15th May 2019","BR","263616","1","No data","100%","100% 							 							 								0%"
"DFN-Verein","20th Oct 2020","DE","680","1","100%","100%","100% 							 							 								16%"
"Dhivehi Raajjeyge Gulhun PLC","19th Aug 2019","MV","7642","1","0","0","100% 							 							 								100%"
"DialHost Internet Ltda","7th Jul 2020","BR","262448","1","No data","100%","91% 							 							 								0%"
"Digicel El Salvador","16th Apr 2020","SV","27903","1","No data","100%","79% 							 							 								100%"
"Digicel Group","18th Apr 2023","AG, AI, AW, BB, BM, BQ, CW, DM, GD, GF, GP, GY, HT, JM, KN, KY, LC, MQ, MS, PA, SR, SV, TT, VG","48252, 52398, 264645","1","0","100%","94% 							 							 								67%"
"Digicel Panama","13th Oct 2019","PA","28005","1","0","100%","0"
"Digital Telco s.r.l.","10th Jul 2019","IT","21058","1","No data","100%","100% 							 							 								0%"
"Dimensione","5th May 2022","IT","202870","1","0","100%","100% 							 							 								30%"
"Dkirosnet Serviços de Internet","24th Feb 2021","BR","61748","1","0","100%","100% 							 							 								55%"
"DMNTR Network Solutions","25th Apr 2023","ES","204773","1","0","100%","100% 							 							 								100%"
"Dms Telecomunicacoes LTDA","6th Jul 2020","BR","61709","1","0","100%","100% 							 							 								0%"
"DSM Group","5th Sep 2022","GB","48070","1","No data","100%","100% 							 							 								100%"
"Duinet Telecom","6th May 2020","BR","269347","1","0","100%","100% 							 							 								0%"
"Durand do Brazil","30th Jan 2020","BR","22356","1","0","100%","100% 							 							 								63%"
"E S DAMASCENO EIRELIE - ME","7th Jul 2020","BR","263929","1","0","100%","100% 							 							 								100%"
"Eastlink","10th May 2021","CA","11260","1","0","100%","100% 							 							 								96%"
"Ebone Network (Pvt.) Ltd.","30th Sep 2022","PK","58895","1","0","100%","100% 							 							 								100%"
"EBOX","25th Aug 2018","CA","1403","1","No data","100%","100% 							 							 								100%"
"EDGOO NETWORKS LDA","11th Dec 2019","ES, FR, PT, US","47787","1","No data","100%","100% 							 							 								94%"
"edisonlee55","26th Jan 2021","CN, DE, JP, TW, US","212425, 212279","1","No data","100%","100% 							 							 								100%"
"Educational Computing Network (New Brunswick)","29th Oct 2020","CA","611","1","0","100%","100% 							 							 								4%"
"efectRO","14th Aug 2020","RO","48571","1","0","100%","100% 							 							 								100%"
"efero GmbH","24th Jan 2023","DE","208431","1","No data","100%","100% 							 							 								100%"
"EI TELECOM EIRELI","31st Mar 2023","BR","267563","1","0","100%","100% 							 							 								58%"
"ELASTX","29th Nov 2018","SE","48579","1","No data","100%","100% 							 							 								100%"
"Elite Limited","7th Jul 2020","GB","29611","1","0","100%","96% 							 							 								100%"
"Empire Telecom","31st Mar 2020","BR","263032","1","No data","0%","100% 							 							 								0%"
"ENEGAN S.p.A","24th Feb 2021","IT","208808","1","100%","100%","100% 							 							 								100%"
"Energy Sciences Network (ESnet)","25th Aug 2018","US","293","1","No data","100%","100% 							 							 								6%"
"Ensite Brasil Telecomunicações","9th Oct 2019","BR","28263","1","No data","100%","100% 							 							 								100%"
"ENTEGA Medianet GmbH","13th Jun 2023","DE","12897","1","0","100%","100% 							 							 								5%"
"ENTEL S.A.","21st Sep 2023","BO","6568","1","0","100%","100% 							 							 								79%"
"ERC Broadband","1st Feb 2021","US","27446, 64213","1","No data","100%","100% 							 							 								96%"
"ETISALCOM Bahrain WLL","31st Jul 2019","BH","35457","1","0","100%","100% 							 							 								0%"
"Evaldo Gardenal","10th Jul 2023","CH","199591","1","0","100%","100% 							 							 								100%"
"Evalse","3rd Dec 2020","EU, US","40916","1","No data","100%","100% 							 							 								25%"
"EyesNwhere Sistemas Inteligentes de Imagem Ltda","31st May 2022","BR","263098","1","No data","0%","0"
"Faelix Limited","25th Aug 2018","GB","41495","1","49%","100%","100% 							 							 								100%"
"Farzanegan Pars","2nd Apr 2022","IR","200370","1","0","100%","0"
"Fastnet (UCA Networks)","25th Aug 2018","RU","43404, 34687","1","No data","100%","100% 							 							 								100%"
"FASTNET SPA","14th Jan 2019","IT","8265","1","100%","100%","100% 							 							 								100%"
"FASTPATH IKE","7th Jul 2020","GR","56457","1","0","100%","100% 							 							 								100%"
"Ferenz Networks","19th Jun 2022","BR","266400","1","0","100%","100% 							 							 								100%"
"Fiber Telecom S.p.A.","4th Feb 2020","IT","41327","1","No data","100%","100% 							 							 								100%"
"Fiber@Home Global Limited","27th Nov 2018","BD","10075","1","No data","100%","100% 							 							 								100%"
"FIberworld Communication","13th Jan 2023","NP","140072","1","0","100%","100% 							 							 								100%"
"Firstlink Communications","12th Jul 2021","NP","137080","1","0","100%","100% 							 							 								100%"
"FLASH BAY EAST AFRICA LIMITED","6th Jul 2020","KE, RW, TZ, UG","328582","1","0","1","1"
"Flextel Network","4th May 2020","BR","263959","1","0","100%","100% 							 							 								0%"
"FLYTECTELECOM","14th Aug 2023","PY","266673","1","0","100%","100% 							 							 								0%"
"Flüpke","12th Jul 2021","DE","208135","1","0","100%","100% 							 							 								100%"
"Fondation RESTENA","22nd Oct 2018","LU","2602","1","No data","100%","100% 							 							 								88%"
"Foreningen Kollegienet Odense","2nd Jul 2019","DK","204793","1","0","100%","100% 							 							 								100%"
"Fort Collins Connexion","13th May 2022","US","397142","1","0","100%","100% 							 							 								88%"
"Forthnet","25th Aug 2018","GR","1241","1","No data","100%","99% 							 							 								90%"
"Fortune Broadband","25th Jun 2019","MM","135371","1","0","100%","100% 							 							 								100%"
"Foton Telecom, CJSC","11th May 2021","RU","42861, 49373","1","No data","100%","92% 							 							 								79%"
"Foundation for Applied Privacy","7th Jan 2021","AT","208323","1","No data","100%","100% 							 							 								100%"
